"Geneid","log2FC_T20","padj_T20","log2FC_T26","padj_T26"
"Cvel_2517",-1.12973563903489,0.00979452836007377,2.64896196654109,1.58807613752162e-05
"Cvel_17782",-2.33543191193139,0.000188785617691899,2.63446063259972,0.000129330736710271
"Cvel_1727",-1.61750750125021,0.00264114644950924,2.62882913781693,0.00154231126551017
"Cvel_14395",-1.60358346226781,0.0303595846461138,2.60768629381846,0.000420508152584852
"Cvel_23527",-1.99445688509479,0.000693689701171909,2.60551442128202,1.11880274257831e-05
"Cvel_16161",-2.554751550969,0.00259643231354041,2.06938870510041,0.0244960964673467
"Cvel_28618",-2.23912269104062,0.00254337713250636,2.54579951198573,0.00516603696284185
"Cvel_11875",-2.4272772558667,0.000187101321443959,1.93004069597814,0.0436546496718024
"Cvel_3182",-1.496215732536,0.0418075811230998,2.41332609679986,0.000181520179525932
"Cvel_33017",-1.80763811066065,0.0471241333697571,2.40801272222979,0.00158948237845818
"Cvel_6796",-1.84152260196117,0.00344709108276624,2.40307870504486,2.26455263249308e-06
"Cvel_27584",-2.37788013022302,0.000552559132266106,1.39080607962182,0.0295266096027605
"Cvel_11823",-2.12584386519446,0.000650225359422477,2.35346975355505,0.00528282053752822
"Cvel_838",-1.39392440874583,0.0110371758994837,2.33359314638928,0.0351999129256598
"Cvel_16364",-2.32992073098596,1.4505996794941e-05,2.18862524303662,2.19576413201906e-07
"Cvel_24273",-2.31109927519125,0.00151583975505805,2.06050162534511,0.00383555583200635
"Cvel_17662",-1.87046311817575,6.46444887422376e-05,2.28558925739452,0.000813620315420441
"Cvel_699",-1.93453944380209,0.00952898213050472,2.27103777065444,0.0139675738503324
"Cvel_2393",-2.20879338897281,0.00733216000368538,1.7933819484763,0.0224045475670191
"Cvel_23271",-1.54581896991197,0.000427421660722358,2.19147398290038,0.00214409189021297
"Cvel_22998",-1.61210448004967,0.0173095007267012,2.11566688023918,0.0426838506767084
"Cvel_28468",-1.93093211682886,0.00458264958757768,2.11094063188621,0.00885685946514975
"Cvel_12244",-1.31046797364979,0.0285595321040618,2.08012023907791,0.0304831264253316
"Cvel_6327",-2.02863768725417,0.00353500536665499,1.24064472470759,0.0146561687579843
"Cvel_24935",-1.71593769112685,0.0219481450638185,2.02370202025687,3.26844287807681e-05
"Cvel_16356",-2.02157321793223,0.00192557102980208,1.35873005081091,0.00213953939672035
"Cvel_9737",-1.91620237061637,0.015473423413403,2.01849583146356,0.0180382227584885
"Cvel_24595",-2.01798892217811,3.73922722283211e-05,1.19588575373512,0.000136068832040403
"Cvel_4705",-1.9819850813671,0.0267108033213586,1.79325083246727,0.0333283272050949
"Cvel_20351",-1.97895269704976,0.0206448622037178,1.44749418159751,0.0489156561922896
"Cvel_4669",-1.53114985649759,0.00213023546231264,1.9662219732987,8.13720410245501e-05
"Cvel_18831",-1.3445090493837,0.00342378258210899,1.95266213000728,0.0145396995598254
"Cvel_18832",-1.49368484455963,0.000642653911234216,1.90925775336937,0.000214974125916747
"Cvel_9825",-1.86268121214437,0.000135076268801359,1.61084292040559,0.00767959823569878
"Cvel_22207",-1.12588189049527,0.00289729142980071,1.80336316924662,6.89223821945155e-05
"Cvel_21116",-1.79570476557694,0.00839549849981592,1.79178232814266,0.00189211905724669
"Cvel_11407",-1.18857991256446,0.0183732673401344,1.79226124208672,5.69240710788501e-08
"Cvel_20728",-1.34845404667838,0.00443075149639465,1.78927188441317,0.000488324624350803
"Cvel_12109",-1.34947758112917,0.00878989418447657,1.75512891149711,0.00431558302315298
"Cvel_26330",-1.14147654272872,0.028745900279358,1.711266863874,0.013529469157461
"Cvel_20918",-1.67243873336526,0.0167959823758012,1.61286409494906,0.0496928941762058
"Cvel_15099",-1.13568228804248,0.0428702904978698,1.65723594976821,0.000547931978899544
"Cvel_5018",-1.52104634481427,0.000721798122542254,1.6143950102817,3.01709835354788e-05
"Cvel_18028",-1.28536785527927,0.00181781838191513,1.56739544367946,0.0275659551667506
"Cvel_5312",-1.06871501460753,0.0277541486699837,1.48683432828756,0.0381259667694216
"Cvel_16177",-1.43693135865518,0.00619748285597527,1.42813431576405,0.0411688732312981
"Cvel_9336",-1.00247116367343,0.00776801504226072,1.31786843225403,0.0396666914938227
"Cvel_12528",-1.23566471994065,0.033613348770644,1.04403225111505,0.0242073678767831
