"Geneid","log2FC_T20","padj_T20","log2FC_T26","padj_T26"
"Cvel_13799",-12.1720356904925,4.57420409156106e-30,-10.7901723618148,7.53061185051089e-63
"Cvel_25935",-11.46673982437,1.76658751945552e-19,-12.1585453524325,1.03979714117065e-21
"Cvel_20379",-10.0942999511772,8.53261356186543e-20,-12.1443300172051,4.25153705665842e-22
"Cvel_27452",-12.1228082168809,7.30274262379119e-22,-11.0025636723217,2.13629982032597e-18
"Cvel_26344",-11.978283656063,6.23788097157476e-21,-12.1075860751499,5.41278443591623e-22
"Cvel_36571",-12.1075379427078,2.14408080648883e-21,-10.3820337763779,7.13210781843134e-22
"Cvel_15691",-11.9797634370246,1.72072938682562e-21,-12.0673764863977,1.60201667622798e-22
"Cvel_29420",-11.9048577073318,1.72945089298338e-28,-12.0502479625193,2.14952110482537e-27
"Cvel_24525",-10.5465297942409,4.35233482226957e-42,-12.0477913409593,2.36115571375416e-29
"Cvel_28335",-12.0393945118784,6.12986979607521e-21,-7.96211574513873,5.58194302818841e-38
"Cvel_19497",-11.5498617697644,5.66014725373914e-19,-12.0197364157067,2.56747323559524e-22
"Cvel_28810",-12.0072530477769,7.32451091815381e-22,-11.9904701541514,1.7579351442774e-29
"Cvel_17695",-11.3740987800216,1.16434798400766e-18,-12.0061659999533,6.32403384944746e-22
"Cvel_12500",-11.9733300309006,1.59720728386201e-21,-11.749914392001,2.8905307422157e-21
"Cvel_9642",-11.9660430519952,6.55021270608945e-29,-9.17232134449567,5.53454515647758e-55
"Cvel_8889",-11.9644852594336,1.35446525684681e-20,-11.8293915607529,3.13241779801423e-21
"Cvel_27437",-11.7913360409661,8.31338521487717e-21,-11.9644389720594,5.09502242733451e-22
"Cvel_19152",-10.1639684709513,8.80620856324521e-20,-11.9568284060841,7.19506767884852e-22
"Cvel_31343",-11.9155962305062,4.6418106015081e-21,-9.88735242646012,1.21683292665245e-19
"Cvel_24956",-11.127787966652,6.69785801195921e-18,-11.9059395981442,2.18115935281168e-21
"Cvel_18802",-11.8830952509801,1.45994174559148e-20,-10.4106868854806,3.38317402041299e-20
"Cvel_12983",-11.8810610387266,1.19461326741189e-20,-10.8599516181947,1.72737744095927e-17
